,,,Vanilla Location-1,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,,Vanilla Location-2,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,Vanilla Location-3,,,,,,,,,,,,,Inverse Heat,,,,,mSA Random Heuristics,,,,Vanilla with memory based and memoryless heuristic,,
,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,,new_Mean,Upper,Lower,,,Mean,Upper,Lower,,Mean,Upper,Lower
30,15,11,33,20,21.8,9.471008394,31.27100839,12.32899161,,25.9,32.564,19.236,,3.8,4.6944,2.9056,,,21,18,23,25,26,22.6,3.209361307,25.80936131,19.39063869,,23.3,29.814,16.786,,0,0,0,,,15,22,10,13,20,16,4.949747468,20.94974747,11.05025253,,17.65,23.722,11.578,,,9.9,18.069,1.7314,,,10.15,19.334,0.96606,,0,0,0
30,14,10,34,21,21.8,10.20784012,32.00784012,11.59215988,,25.85,32.871,18.829,,3.8,4.4156,3.1844,,,20,19,23,25,27,22.8,3.346640106,26.14664011,19.45335989,,23,29.657,16.343,,0,0,0,,,15,23,11,12,20,16.2,5.167204273,21.36720427,11.03279573,,18.1,24.49,11.71,,,9.6,17.694,1.5058,,,10.1,19.328,0.87247,,0,0,0
30,15,9,34,20,21.6,10.35857133,31.95857133,11.24142867,,25.8,32.89,18.71,,4.1,4.9522,3.2478,,,21,19,22,24,26,22.4,2.701851217,25.10185122,19.69814878,,22.8,29.286,16.314,,0,0,0,,,15,22,10,12,21,16,5.338539126,21.33853913,10.66146087,,18.15,24.73,11.57,,,9.7,17.876,1.5237,,,10.25,19.483,1.0169,,0,0,0
30,15,10,33,20,21.6,9.762171889,31.36217189,11.83782811,,25.7,32.614,18.786,,4.1,5.0679,3.1321,,,21,18,21,24,27,22.2,3.420526275,25.62052628,18.77947372,,22.9,29.412,16.388,,0,0,0,,,16,23,10,12,19,16,5.244044241,21.24404424,10.75595576,,18.05,24.469,11.631,,,9.6,17.849,1.3512,,,10.1,19.547,0.65264,,0,0,0
31,14,10,33,20,21.6,10.16366076,31.76366076,11.43633924,,25.95,33.135,18.765,,4.2,5.1515,3.2485,,,20,17,21,23,25,21.2,3.033150178,24.23315018,18.16684982,,22.7,29.342,16.058,,0,0,0,,,15,23,9,13,19,15.8,5.403702434,21.20370243,10.39629757,,17.8,24.037,11.563,,,9.35,17.417,1.2827,,,10.2,19.937,0.46347,,0,0,0
30,14,9,33,19,21,10.27131929,31.27131929,10.72868071,,25.9,33.305,18.495,,4.15,4.9627,3.3373,,,20,17,22,23,24,21.2,2.774887385,23.97488739,18.42511261,,22.4,29.201,15.599,,0,0,0,,,15,23,8,13,19,15.6,5.727128425,21.32712843,9.872871575,,17.7,23.942,11.458,,,9.25,17.425,1.0751,,,9.95,19.566,0.33381,,0,0,0
30,14,9,34,19,21.2,10.56882207,31.76882207,10.63117793,,25.4,32.886,17.914,,4.15,5.0251,3.2749,,,21,18,22,21,24,21.2,2.167948339,23.36794834,19.03205166,,22.5,29.192,15.808,,0,0,0,,,16,22,9,12,20,15.8,5.403702434,21.20370243,10.39629757,,17.4,23.61,11.19,,,9.25,17.534,0.96638,,,9.85,19.563,0.13688,,0,0,0
30,15,9,34,20,21.6,10.35857133,31.95857133,11.24142867,,25.85,33.128,18.572,,4,4.8584,3.1416,,,21,18,22,21,23,21,1.870828693,22.87082869,19.12917131,,23.8,30.868,16.732,,0,0,0,,,15,21,9,12,21,15.6,5.366563146,20.96656315,10.23343685,,17.55,23.812,11.288,,,9.2,17.526,0.87376,,,9.9,19.595,0.20518,,0,0,0
31,15,10,33,20,21.8,9.984988733,31.78498873,11.81501127,,25.95,33.025,18.875,,3.85,4.8381,2.8619,,,21,18,21,22,23,21,1.870828693,22.87082869,19.12917131,,22.65,29.317,15.983,,0,0,0,,,15,21,8,12,22,15.6,5.941380311,21.54138031,9.658619689,,17.65,24.018,11.282,,,9.1,17.466,0.73403,,,10.1,19.956,0.24366,,0,0,0
31,16,10,33,21,22.2,9.782637681,31.98263768,12.41736232,,25.8,32.74,18.86,,3.85,4.7833,2.9167,,,21,18,21,22,24,21.2,2.167948339,23.36794834,19.03205166,,22.65,29.473,15.827,,0,0,0,,,15,21,9,12,22,15.8,5.630275304,21.4302753,10.1697247,,17.9,24.372,11.428,,,8.85,17.066,0.634,,,10.2,19.926,0.47429,,0,0,0
31,16,10,33,20,22,9.823441352,31.82344135,12.17655865,,25.75,32.715,18.785,,3.8,4.4959,3.1041,,,22,18,22,23,24,21.8,2.28035085,24.08035085,19.51964915,,22.65,29.396,15.904,,0,0,0,,,16,22,9,13,21,16.2,5.449770637,21.64977064,10.75022936,,17.8,24.029,11.571,,,8.8,16.869,0.73056,,,10.25,20.344,0.15636,,0,0,0
30,16,9,33,20,21.6,9.914635646,31.51463565,11.68536435,,25.55,32.512,18.588,,3.9,4.6182,3.1818,,,22,19,21,22,25,21.8,2.167948339,23.96794834,19.63205166,,22.8,29.525,16.075,,0,0,0,,,15,22,8,13,21,15.8,5.805170109,21.60517011,9.994829891,,17.6,23.92,11.28,,,8.6,16.649,0.55146,,,9.8,19.553,0.047268,,0,0,0
